Ne,C,gamma,avg,max,min,train_eps,test_eps
50,40,0.7999999999999999,13.02,29,1,10000,1000
50,50,0.7,9.892,26,2,10000,1000
50,50,0.7999999999999999,10.366,31,1,10000,1000
30.0,30.0,0.7,24.807,52,5,50000,1000
30.0,30.0,0.8,24.22,56,3,50000,1000
30.0,40.0,0.6,25.528,57,7,50000,1000
30.0,40.0,0.7,22.833,51,6,50000,1000
40.0,30.0,0.6,24.731,58,7,50000,1000
40.0,30.0,0.8,23.695,51,7,50000,1000
40.0,40.0,0.6,24.025,52,7,50000,1000
40.0,40.0,0.8,22.539,49,5,50000,1000
40.0,50.0,0.6,23.718,62,5,50000,1000
40.0,50.0,0.8,23.67,51,3,50000,1000
30.0,10.0,0.30000000000000004,24.253,52,4,45000,1000
30.0,10.0,0.7000000000000001,23.904,53,4,26000,1000
30.0,30.0,0.1,25.398,58,2,28000,1000
30.0,30.0,0.30000000000000004,25.03,56,5,42000,1000
30.0,30.0,0.5,26.596,56,7,29000,1000
30.0,30.0,0.7000000000000001,24.539,56,7,29000,1000
30.0,30.0,0.9,26.11,54,5,41000,1000
30.0,50.0,0.30000000000000004,24.637,56,2,50000,1000
30.0,50.0,0.7000000000000001,23.789,51,6,46000,1000
30.0,70.0,0.1,25.016,55,7,50000,1000
30.0,70.0,0.9,22.986,49,2,30000,1000
30.0,90.0,0.7000000000000001,23.172,56,4,27000,1000
50.0,10.0,0.1,22.607,53,3,34000,1000
50.0,10.0,0.30000000000000004,25.852,56,7,50000,1000
50.0,10.0,0.5,23.099,49,3,42000,1000
50.0,10.0,0.7000000000000001,23.543,54,3,42000,1000
50.0,30.0,0.1,24.773,50,5,47000,1000
50.0,30.0,0.5,21.421,46,2,36000,1000
50.0,30.0,0.7000000000000001,23.276,54,6,44000,1000
50.0,30.0,0.9,22.644,54,2,38000,1000
50.0,50.0,0.1,24.811,54,2,50000,1000
50.0,50.0,0.30000000000000004,23.603,51,3,40000,1000
50.0,50.0,0.5,22.996,52,2,40000,1000
50.0,50.0,0.9,23.138,49,7,41000,1000
50.0,70.0,0.1,24.699,53,2,38000,1000
50.0,70.0,0.9,23.322,53,4,45000,1000
50.0,90.0,0.30000000000000004,23.491,58,4,46000,1000
50.0,90.0,0.9,23.534,49,2,50000,1000
70.0,10.0,0.30000000000000004,24.072,55,2,45000,1000
70.0,10.0,0.5,24.014,52,3,50000,1000
70.0,10.0,0.7000000000000001,23.639,48,4,50000,1000
70.0,10.0,0.9,23.357,52,2,46000,1000
